"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","PT1.24KAFCT-ND","ERJ-1TNF1241U","RES SMD 1.24K OHM 1% 1W 2512","","1","0","0.71000","0.71"
"2","7","160-1447-1-ND","LTST-C191KRKT","LED RED CLEAR SMD","","7","0","0.26000","1.82"
"3","2","P150BCCT-ND","ERA-8AEB151V","RES SMD 150 OHM 0.1% 1/4W 1206","","2","0","0.66000","1.32"
"4","2","P390FCT-ND","ERJ-8ENF3900V","RES SMD 390 OHM 1% 1/4W 1206","","2","0","0.19000","0.38"
"5","1","490-1641-1-ND","GRM2195C1H912JA01D","CAP CER 9100PF 50V C0G/NP0 0805","","1","0","0.23000","0.23"
"6","4","401-2002-1-ND","JS202011SCQN","SWITCH SLIDE DPDT 300MA 6V","","4","0","0.56000","2.24"
"7","1","MCP112T-300E/TTCT-ND","MCP112T-300E/TT","IC SUPERVISOR 1 CHANNEL SOT23-3","","1","0","0.64000","0.64"
"8","1","MCP809T-450I/TTCT-ND","MCP809T-450I/TT","IC SUPERVISOR 1 CHANNEL SOT23-3","","1","0","0.64000","0.64"
"9","2","399-5447-1-ND","R82DC4100DQ60J","CAP FILM 1UF 5% 63VDC RADIAL","","2","0","0.60000","1.20"
"10","3","311-10.0KCRCT-ND","RC0805FR-0710KL","RES 10K OHM 1% 1/8W 0805","","3","0","0.10000","0.30"
"11","2","311-100KCRCT-ND","RC0805FR-07100KL","RES 100K OHM 1% 1/8W 0805","","2","0","0.10000","0.20"
"12","2","311-330CRCT-ND","RC0805FR-07330RL","RES 330 OHM 1% 1/8W 0805","","2","0","0.10000","0.20"
"13","8","311-10KARCT-ND","RC0805JR-0710KL","RES 10K OHM 5% 1/8W 0805","","8","0","0.10000","0.80"
"14","2","RL12S.10FCT-ND","RL1220S-R10-F","RES 0.1 OHM 1% 1/3W 0805","","2","0","0.29000","0.58"
"15","1","296-39420-1-ND","TPS54332DDAR","IC REG BUCK ADJ 3.5A 8SOPWR","","1","0","2.19000","2.19"
"16","1","LM338T-ND","LM338T","IC REG LINEAR POS ADJ 5A TO220-3","","1","0","3.08000","3.08"
"17","2","296-SN74AHC1G08DBV3CT-ND","SN74AHC1G08DBV3","IC GATE AND 1CH 2-INP SOT23-5","","2","0","0.53000","1.06"
"18","15","36-5019CT-ND","5019","PC TEST POINT MINIATURE","","15","0","0.34000","5.10"
"19","1","RMCF0805FT2K00CT-ND","RMCF0805FT2K00","RES 2K OHM 1% 1/8W 0805","","1","0","0.10000","0.10"
"20","14","RG20P100BCT-ND","RG2012P-101-B-T5","RES SMD 100 OHM 0.1% 1/8W 0805","","14","0","0.27200","3.81"
"21","1","YAG1765CT-ND","RT0805BRD07110RL","RES SMD 110 OHM 0.1% 1/8W 0805","","1","0","0.38000","0.38"
