Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","0.47uF","Cap Ceramic 0.47uF 6.3V X7R 10% Pad SMD 0805 125C Automotive T/R","C403","","Not managed","","1","TDK","CGJ4J2X7R0J474K125AA","End of Life","Digi-Key","445-8201-1-ND","0.43","0.43"
"","ICM-20608-G","MotionTracking Device Digital Output 1.8V 16-Pin LGA / IMU ACCEL/GYRO I2C/SPI 16LGA","U400","","Not managed","","1","TDK InvenSense","ICM-20608-G","Not Recommended for New Design","Digi-Key","1428-1052-1-ND","7.78","7.78"
"","LTST-C191KRKT","LED Uni-Color Red 639nm 2-Pin Chip LED T/R / LED RED CLEAR 0603 SMD","D400","","Not managed","","1","","","","Digi-Key","160-1447-1-ND","",""
"","5019","Test Point, 1 Position SMD, RoHS, Tape and Reel","TP200, TP201, TP202, TP300, TP301, TP400, TP401, TP500, TP501","CMP-1672-00008-1","Released","Up to date","9","Keystone Electronics","5019","Volume Production","Newark","06W4636","0.123","1.11"
"","08055A6R0CAT2A","","C202, C203","CMP-2007-04344-1","Released","Up to date","2","Kyocera AVX","08055A6R0CAT2A","Volume Production","Arrow Electronics","08055A6R0CAT2A","0.2226","0.4452"
"","150080GS75000","SMD mono-color Chip LED, WL-SMCW, Green","LED201, LED300, LED301","CMP-1426-00007-1","Released","Up to date","3","Wurth Electronics","150080GS75000","Unknown","Newark","95W3800","0.19","0.57"
"","150080RS75000","SMD mono-color Chip LED, WL-SMCW, Red","LED200","CMP-1426-00011-1","Released","Up to date","1","Wurth Electronics","150080RS75000","Unknown","Mouser","710-150080RS75000","0.19","0.19"
"","61300511121","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 5 pins","P200","CMP-1502-01068-1","Released","Up to date","1","Wurth Electronics","61300511121","Unknown","Newark","20X0955","0.136","0.136"
"","629105136821","Micro USB 2.0 Type B Receptacle WR-COM, Horizontal, SMT, with Pads and Pegs ","J300, J500","CMP-1502-03253-1","Released","Up to date","2","Wurth Electronics","629105136821","Volume Production","Newark","84X0342","1.25","2.5"
"","ABS07-120-32.768KHZ-T","CRYSTAL 32.7680KHZ 6PF SMD","Y200","CMP-2000-07587-2","Released","Up to date","1","Abracon","ABS07-120-32.768KHZ-T","Volume Production","Mouser","815-ABS0712032.768KT","0.76","0.76"
"","BLM21AG121SN1D","FERRITE BEAD 120 OHM 0805 1LN","FB300","CMP-0686-00716-3","Released","Up to date","1","Murata","BLM21AG121SN1D","Volume Production","Newark","73M9128","0.14","0.14"
"","C0805C103K5RACTU","","C300","CMP-2007-00266-1","Released","Up to date","1","KEMET","C0805C103K5RAC-TU","Volume Production","Newark","36X2694","0.049","0.049"
"","C0805C103K8RACTU","CAP CER 10000PF 10V X7R 0805","C402","CMP-1036-03808-3","New From Design","Up to date","1","Vishay Vitramon","VJ0805Y103KXQCW1BC","Volume Production","Arrow Electronics","VJ0805Y103KXQCW1BC","0.032","0.032"
"","C0805C104K5RACTU","CAP CER 0.1UF 50V X7R 0805","C201","CMP-2007-00279-2","New From Design","Up to date","1","KEMET","C0805C104K5RACTU","Volume Production","Newark","19C6015","0.024","0.024"
"","C0805C104K9RACTU","","C401","CMP-1036-04391-2","Released","Up to date","1","KEMET","C0805C104K9RACTU","Volume Production","Avnet","96Y7119","0.061","0.061"
"","C0805C106K8PACTU","CAP CER 10UF 10V X5R 0805","C200","CMP-2007-03243-2","New From Design","Up to date","1","KEMET","C0805C106K8PACTU","Unknown","Newark","58M4436","0.023","0.023"
"","C0805C225K9PACTU","","C400","CMP-1036-04819-2","Released","Up to date","1","KEMET","C0805C225K9PACTU","Volume Production","Digi-Key","399-C0805C225K9PAC7800CT-ND","0.31","0.31"
