Change component parameters: Designator = "U200" ("U200"); Footprint = "SOT-23-TT3_N"; UniqueID = "\XQZAFYCJ" ("\XQZAFYCJ")
Change component parameters (AddParameter): Name = "Accuracy"; Value = "-5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Voltage Supervisors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Code_IPC"; Value = "SOT23-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/13030/11194c-69300-13030416.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/13030/11194c-69300-13030416.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/41463/001085520-da-01-en-ic-supervisor-mcp809t-450i-tt-sot-23-mcp-41463206.pdf?src-supplier=Conrad"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/41463/001085520-da-01-en-ic-supervisor-mcp809t-450i-tt-sot-23-mcp-41463206.pdf?src-supplier=Conrad"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/14180/nz641195-641197-e-14180059.pdf?src-supplier=Distrelec"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/14180/nz641195-641197-e-14180059.pdf?src-supplier=Distrelec"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/7990/11605-7990664.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/7990/11605-7990664.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
