Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","1 nF Film","1000 pF Film Capacitor 40V 63V Polyester, Polyethylene Terephthalate (PET), Metallized - Stacked Radial","C405, C406","","Not managed","","2","TDK EPCOS","B32529C0102K289","Volume Production","Digi-Key","495-2456-1-ND","0.32","0.64"
"","1 uF X7R","1ÂµF Â±10% 25V Ceramic Capacitor X7R 0805 (2012 Metric)","C407","","Not managed","","1","Samsung","CL21B105KAFNNNE","Volume Production","Digi-Key","1276-1066-1-ND","0.1","0.1"
"","10.2k","","R801","","Not managed","","1","","","","","","",""
"","14.5k","","R404","","Not managed","","1","Yageo","RT0805DRE0714K5L","Volume Production","Digi-Key","311-2788-1-ND","0.13","0.13"
"","1935187","No Description Available","J500","","Not managed","","1","Phoenix Contact","PT1.5/4-5.0-H","Volume Production","Digi-Key","277-1579-ND","1.05","1.05"
"","1760520000","3 Position Wire to Board Terminal Block Horizontal with Board 0.200 _5.08mm_ Through Hole","J400, J600","","Not managed","","2","Weidmuller","1760520000","Volume Production","Digi-Key","281-1883-ND","0.92","1.84"
"","885012007027","<b> WCAP-CSGP Ceramic Capacitors <br> <br> <br><b>Characteristics </b><br> </b><br>Multilayer Ceramic Chip Capacitor <br>Recommended soldering:Reflow, for 0603 and 0805 wave soldering is also allowed <br>Operating temperature:-55 Â°C to +125 Â°C; <br>Ceramic characteristics: Class I - NPO ; Class II -X7R, X5R <br>High performance ceramic <br>High capacitance stability <br>Minimal aging  <br>Termination:Cu/Ni/Sn <br>   <br><a href=""http://katalog.we-online.de/media/images/eisos/WCAP-CSGP_pf2.jpg"" title=""Enlarge picture""> <img src=""http://katalog.we-online.de/media/thumbs2/eisos/thb_WCAP-CSGP_pf2.jpg"" width=""320""></a><p> Details see: <a href=""http://katalog.we-online.de/en/pbs/WCAP-CSGP-0805?"">http://katalog.we-online.de/en/pbs/WCAP-CSGP-0805? </a><p>Created:  2015-01-28 <br>2015 (C) Wurth Elektronik","C806","","Not managed","","1","Wurth Electronics","885012007027","Volume Production","Digi-Key","732-7826-1-ND","0.1","0.1"
"","ERJ-1TNF1241U","","R800","","Not managed","","1","","","","","","",""
"","ERJ-PB6B8452V","","R802","","Not managed","","1","Panasonic","ERJPB6B8452V","Volume Production","Digi-Key","P20814CT-ND","0.4","0.4"
"","LTST-C191KRKT","http://octopart.com/ltst-c190krkt-lite-on-549893","D300, D301, D303, D400, D401, D500, D600","","Not managed","","7","","","","Digi-Key","160-1447-1-ND","",""
"","SDR1307-4R7ML","No Description Available","L800","","Not managed","","1","Bourns","SDR1307-4R7ML","Volume Production","Digi-Key","SDR1307-4R7MLCT-ND","1.07","1.07"
"","TLV9051IDCKR","Single 5-MHz, 15-V/µs high slew-rate, RRIO op amp 5-SC70 -40 to 125","U403","","Not managed","","1","Texas Instruments","TLV9051IDCKR","Volume Production","Digi-Key","296-TLV9051IDCKRCT-ND","0.62","0.62"
"","TLV9052IDR","5MHz 15V/us High Slew-Rate RRIO Operational Amplifier 8-Pin SOIC T/R","U400, U401","","Not managed","","2","Texas Instruments","TLV9052IDR","Volume Production","Digi-Key","296-53049-1-ND","0.93","1.86"
"","TPS54332DDAR","IC REG BUCK ADJ 3.5A 8SOPWRPAD","U800","","Not managed","","1","Texas Instruments","TPS54332DDAR","Volume Production","Digi-Key","296-39420-1-ND","2.19","2.19"
"","VR10S05","DC-DC Converter, Switching Regulater, 1A, SIP, VR Series","J300","","Not managed","","1","XP Power","VR10S05","Unknown","Digi-Key","1470-VR10S05-ND","2.85","2.85"
"","476-4","PLUG JACK MINI NON-INSULATED","J301, J302","CMP-19636-000003-1","New From Design","Up to date","2","Keystone Electronics","476-4","Volume Production","Mouser","534-476-4","0.75","1.5"
