Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,,,,,,,,,,,,,,
,10.2k,,R801,,Not managed,,1,,,,,,,
,8.85012E+11,"<b> WCAP-CSGP Ceramic Capacitors <br> <br> <br><b>Characteristics </b><br> </b><br>Multilayer Ceramic Chip Capacitor <br>Recommended soldering:Reflow, for 0603 and 0805 wave soldering is also allowed <br>Operating temperature:-55 Â°C to +125 Â°C; <br>Ceramic characteristics: Class I - NPO ; Class II -X7R, X5R <br>High performance ceramic <br>High capacitance stability <br>Minimal aging  <br>Termination:Cu/Ni/Sn <br>   <br><a href=""http://katalog.we-online.de/media/images/eisos/WCAP-CSGP_pf2.jpg"" title=""Enlarge picture""> <img src=""http://katalog.we-online.de/media/thumbs2/eisos/thb_WCAP-CSGP_pf2.jpg"" width=""320""></a><p> Details see: <a href=""http://katalog.we-online.de/en/pbs/WCAP-CSGP-0805?"">http://katalog.we-online.de/en/pbs/WCAP-CSGP-0805? </a><p>Created:  2015-01-28 <br>2015 (C) Wurth Elektronik",C806,,Not managed,,1,Wurth Electronics,8.85012E+11,Volume Production,Digi-Key,732-7826-1-ND,0.1,0.1
,ERJ-1TNF1241U,,R800,,Not managed,,1,,,,,,,
,LTST-C191KRKT,http://octopart.com/ltst-c190krkt-lite-on-549893,"D300, D301, D303, D400, D401, D500, D600",,Not managed,,7,,,,Digi-Key,160-1447-1-ND,,
,TPS54332DDAR,IC REG BUCK ADJ 3.5A 8SOPWRPAD,U800,,Not managed,,1,Texas Instruments,TPS54332DDAR,Volume Production,Digi-Key,296-39420-1-ND,2.19,2.19
,5019,"Test Point, 1 Position SMD, RoHS, Tape and Reel","TP200, TP201, TP202, TP300, TP301, TP302, TP303, TP400, TP401, TP500, TP501, TP600, TP601, TP700, TP701",CMP-1672-00008-1,Released,Up to date,15,Keystone Electronics,5019,Volume Production,Newark,06W4636,0.123,1.85
,CRCW08052K00FKEA,"RES Thick Film, 2kO, 1%, 0.125W, 100ppm/°C, 0805",R300,CMP-2001-03755-2,New From Design,Up to date,1,Vishay,CRCW08052K00FKEA,Unknown,Newark,52K9946,0.008,0.008
,ERA6AEB101V,,"R502, R503, R504, R506, R507, R508, R509, R512, R513, R601, R702, R703, R704, R705",CMP-2001-00580-1,Released,Up to date,14,Panasonic,ERA-6AEB101V,Volume Production,Mouser,667-ERA-6AEB101V,0.299,4.19
,ERA6AEB111V,,R301,CMP-2001-00585-1,Released,Up to date,1,Panasonic,ERA-6AEB111V,Volume Production,Farnell,1670214,0.2111,2.11
,ERA8AEB151V,,"R400, R517",CMP-2003-04422-1,Released,Up to date,2,Panasonic,ERA-8AEB151V,Not Recommended for New Design,Arrow Electronics,ERA-8AEB151V,0.6516,1.3
,ERJ8ENF3900V,,"R305, R307",CMP-1014-00463-2,Released,Up to date,2,Vishay,CRCW1206390RFKEA,Volume Production,Newark,53K2341,0.004,0.008
,GRM2195C1H912JA01D,"Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 9100pF, C0G, 30ppm/°C, 5%, 50V",C802,CMP-2007-00147-2,New From Design,Up to date,1,Murata,GRM2195C1H912JA01D,Volume Production,Arrow Electronics,GRM2195C1H912JA01D,0.2123,0.2123
,JS202011SCQN,SWITCH SLIDE DPDT 300MA 6V,"SW300, SW400, SW500, SW600",CMP-2000-05087-3,Released,Up to date,4,ITT C&K,JS202011SCQN,Unknown,Newark,95W3256,0.512,2.05
,LM338T,"5 Amp Adjustable Regulator, 3-pin TO-220",U300,CMP-0062-02475-3,Released,Up to date,1,TI National Semiconductor,LM338T,Not Recommended for New Design,Digi-Key,LM338T-ND,3.08,3.08
,MCP112T-300E/TT,"1.75Î¼A Micropower Voltage Detector, Push-Pull Output, 2.93V, 3-Pin SOT-23, Extended Temperature, Tape and Reel",U304,CMP-0130-00043-1,Released,Up to date,1,Microchip,MCP112T-300E/TT,Volume Production,Mouser,579-MCP112T-300E/TT,0.64,0.64
,MCP809T-450I/TT,"Microcontroller Supervisory Circuit with Push-Pull Output, 3-Pin SOT-23, Industrial Temperature, Tape and Reel",U303,CMP-0138-00383-1,Released,Up to date,1,Microchip,MCP809T-450I/TT,Volume Production,Arrow Electronics,MCP809T-450I/TT,0.5983,0.5983
